_id,title,url,pub_date,price,area
ObjectId(585b8baf2514971a24fafb2e),【5图】2014年买的戴尔Vostro 成就 2421笔记本电脑出售-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2446470465x.htm,11-30,1300,"["" 北京"",""大兴"",""黄村""]"
ObjectId(585b8baf2514972708f213d5),【15图】迎元旦大降价苹果Pro+Air笔记本原装正品苹果全系列-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2559592151x.htm,12-16,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8baf2514971b044bae9b),【2图】电信无线电话优惠 无线座机 北京款大灵通 固话靓号连号办理-北京二手其他平板电脑配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2564359541x.htm,12-19,350,"["" 北京"",""西城"",""新街口""]"
ObjectId(585b8bb02514971a24fafb2f),【7图】自用 联想 Thinkpad E40 出售 (个人非商家)-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2471505524x.htm,11-30,1100,"["" 北京"",""宣武"",""广安门""]"
ObjectId(585b8bb02514971b044bae9c),【2图】电信无线电话靓号 无线座机安装 大灵通 固话靓号连号办理电信-北京二手其他笔记本配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2564359199x.htm,12-19,350,"["" 北京"",""西城"",""西直门""]"
ObjectId(585b8bb02514972b6c5cf362),【图】长期办驾驶證行驶證办房产證办结婚證办离婚證毕業证-见货付款-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2459475111x.htm,12-09,220,"["" 北京"",""西城"",""积水潭""]"
ObjectId(585b8bb02514971a24fafb30),【转海淀一般纳税人商贸公司十万元版】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2447620881x.htm,12-01,12,"["" 北京"",""朝阳""]"
ObjectId(585b8bb02514971b044bae9d),【2图】电信无线座机无线商话安装 天翼无线电话固话靓号大灵通办理-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2564358830x.htm,12-19,350,"["" 北京"",""西城"",""复兴门""]"
ObjectId(585b8bb02514972708f213d6),【7图】个人电脑转卖-北京二手联想二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2476186429x.htm,12-16,3000,"["" 北京"",""房山"",""窦店""]"
ObjectId(585b8bb12514971a24fafb31),【转顺义延庆一般纳税人商贸公司十万元版】-北京二手惠普笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2445737253x.htm,11-30,12,"["" 北京"",""海淀""]"
ObjectId(585b8bb12514971b044bae9e),【2图】010无线商话靓号 无线固话 天翼无线座机电话大灵通办理电信-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2473322373x.htm,12-19,350,"["" 北京"",""西城"",""金融街""]"
ObjectId(585b8bb12514972b6c5cf363),【2图】电信无线固话安装无线商话 无线座机电话靓号大灵通固话办理-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480094137x.htm,12-06,350,"["" 北京"",""平谷"",""金海湖""]"
ObjectId(585b8bb12514972708f213d7),【图】联想笔记本电脑-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2560915949x.htm,12-17,500,"["" 北京"",""顺义""]"
ObjectId(585b8bb32514972b6c5cf364),【图】北京上门苹果MF865笔记本苹果MF840笔记本-北京二手iPad平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2467503214x.htm,12-09,26520,"["" 北京"",""房山""]"
ObjectId(585b8bb32514971a24fafb32),【2图】自用电脑笔记本高配置低价转让-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2454113290x.htm,11-30,950,"["" 北京"",""朝阳"",""高碑店""]"
ObjectId(585b8bb32514971b044bae9f),【5图】便宜转让宏基12寸平板电脑超级本P3-北京二手宏基笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2238532926x.htm,12-20,1200,"["" 北京"",""昌平"",""天通苑""]"
ObjectId(585b8bb32514972708f213d8),【2图】北京无线电话 电信无线座机 固话靓号办理电信-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466273477x.htm,12-14,350,"["" 北京"",""延庆"",""其他""]"
ObjectId(585b8bb42514971b044baea0),【2图】无线电话办理 电信无线座机 无线电话 固话靓号大灵通靓号办理-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2473299729x.htm,12-19,350,"["" 北京"",""石景山"",""八角""]"
ObjectId(585b8bb42514972b6c5cf365),【图】办驾驶證行驶證办房产證办结婚證办离婚證毕業证-銀行专用流水-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480205386x.htm,12-06,200,"["" 北京"",""朝阳""]"
ObjectId(585b8bb42514971a24fafb33),【转延庆 海淀一般纳税人商贸公司十万元版】-北京二手惠普笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2453790574x.htm,11-30,12,"["" 北京"",""海淀""]"
ObjectId(585b8bb52514971b044baea1),【4图】ipad国行16G-北京二手平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2482164037x.htm,12-20,1600,"["" 北京"",""朝阳"",""豆各庄""]"
ObjectId(585b8bb52514972708f213d9),【2图】无线电话销售 电信座机 无线电话010固话靓号办理-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2557316849x.htm,12-14,350,"["" 北京"",""延庆"",""延庆城区""]"
ObjectId(585b8bb52514971a24fafb34),【北京款无线电话靓号送货 电信无绳座机办理 大灵通优】-北京二手其他平板电脑配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2446738329x.htm,12-01,350,"["" 北京"",""海淀"",""西山""]"
ObjectId(585b8bb62514971b044baea2),【3图】三星smp601-北京二手三星二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2564392457x.htm,12-19,3000,"["" 北京"",""海淀"",""四季青""]"
ObjectId(585b8bb62514972b6c5cf366),【4图】北京无线座机办理 电信无线固话靓号大灵通无线电话办理-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2479852346x.htm,12-06,450,"["" 北京"",""丰台"",""蒲黄榆""]"
ObjectId(585b8bb62514972708f213da),【2图】电信无线座机 电信无线电话 无线固话010靓号办理-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2474421763x.htm,12-14,350,"["" 北京"",""延庆"",""永宁""]"
ObjectId(585b8bb72514972b6c5cf367),【2图】北京010无线座机安装电信大灵通资费超低靓号固话靓号大灵通-北京二手其他笔记本配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2454092541x.htm,12-06,350,"["" 北京"",""大兴"",""兴业大街""]"
ObjectId(585b8bb72514971a24fafb35),【北京款无线座机资费便宜了 电信无线电话靓号 大灵通】-北京二手其他笔记本配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2446736448x.htm,12-01,350,"["" 北京"",""海淀"",""明光桥""]"
ObjectId(585b8bb72514971b044baea3),"【图】转让北京典当行,投资管理,资产管理公司-北京二手iPad平板电脑_iPad-赶集网",http://bj.ganji.com/ershoubijibendiannao/2480524228x.htm,12-19,5000,"["" 北京"",""朝阳"",""大望路""]"
ObjectId(585b8bb82514972708f213db),【2图】电信无线座机010固话靓号大灵通 无线电话办理-北京二手其他平板电脑配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2474417689x.htm,12-14,350,"["" 北京"",""延庆"",""大榆树""]"
ObjectId(585b8bb82514972b6c5cf368),【2图】办理北京010 无线座机靓号办理 北京电信无线电话固话靓号-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2454090378x.htm,12-06,350,"["" 北京"",""大兴"",""郁花园""]"
ObjectId(585b8bb82514971a24fafb36),【天翼无线座机靓号出售 北京电信无线电话 大灵通】-北京二手其他品牌平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2472315470x.htm,12-01,350,"["" 北京"",""海淀"",""学院路北""]"
ObjectId(585b8bb92514971b044baea4),【4图】圣罗兰(SLY)奢侈品原单包包货源批发 厂家直供 可到付验货-北京二手电脑包-赶集网,http://bj.ganji.com/ershoubijibendiannao/2464724280x.htm,12-13,180,"["" 北京"",""西城""]"
ObjectId(585b8bb92514972b6c5cf369),【2图】办理010北京无线座机免费安装 电信无线电话 固话靓号大灵通-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2454087900x.htm,12-06,350,"["" 北京"",""大兴"",""瀛海镇""]"
ObjectId(585b8bba2514972708f213dc),【2图】北京无线电话办理无线座机销售010无线电话靓号办理-北京二手其他笔记本配件-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466266484x.htm,12-14,350,"["" 北京"",""延庆"",""八达岭""]"
ObjectId(585b8bbb2514972b6c5cf36a),【15图】迎元旦大降价IBM X240X230X220X201全系列-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2484277790x.htm,12-09,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbb2514971a24fafb37),【天翼无线电话资费7分 电信无线座机送货中 大灵通靓】-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2472313286x.htm,12-01,350,"["" 北京"",""海淀"",""肖家河""]"
